canonical_smiles,standard_units,standard_value,units,value,Potency
CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@@H](CO)NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@H](C(=O)O)[C@@H](C)O,nM,1.3,nM,1.3,Active
C=C(Cl)C(=O)N[C@@H]1CCC2C3Cc4ccc(O)c5c4C2(CCN3CC2CC2)[C@H]1O5,nM,0.53,nM,0.53,Active
CN(C(=O)Cc1ccc(Cl)c(Cl)c1)[C@H](CN1CCCC1)c1ccccc1,nM,600.0,nM,600.0,Active
CN(C(=O)Cc1ccccc1N=C=S)[C@H](CN1CCCC1)c1ccccc1,nM,1060.0,nM,1060.0,Active
CN(C(=O)Cc1cc(Cl)c(Cl)cc1N=C=S)[C@H](CN1CCCC1)c1ccccc1,nM,1700.0,nM,1700.0,Active
CN(C(=O)Cc1ccc(N=C=S)cc1)[C@H](CN1CCCC1)c1ccccc1,nM,150.0,nM,150.0,Active
C=C(Cl)C(=O)N[C@@]12CCC(=O)[C@@H]3Oc4c(O)ccc5c4C31CCN(C)C2C5,nM,178.0,nM,178.0,Active
CC1(C)SSC(C)(C)[C@@H](NC(=O)[C@@H](N)Cc2ccc(O)cc2)C(=O)NCC(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@H]1C(=O)O,nM,1.8,nM,1.8,Active
C=C(Cl)C(=O)N[C@@]12CCC(=O)[C@@H]3Oc4c(O)ccc5c4C31CCN(CC1CC1)C2C5,nM,177.0,nM,177.0,Active
CN(C(=O)Cc1cccc(N=C=S)c1)[C@H](CN1CCCC1)c1ccccc1,nM,144.0,nM,144.0,Active
