MW,LogP,TPSA,HBD,HBA,RotBonds,AroRings,HeavyAtoms,Heteroatoms
527.5770000000001,3.437000000000002,122.00999999999999,2,7,6,2,39,9
541.6040000000002,3.740000000000003,111.01,1,7,7,2,40,9
513.5500000000004,3.0469000000000017,122.01,2,7,6,2,38,9
515.5660000000004,3.270900000000002,122.01,2,7,6,2,38,9
475.50100000000015,2.4907000000000004,122.01000000000002,2,7,4,2,35,9
473.4850000000002,2.2667,122.01000000000002,2,7,4,2,35,9
501.5390000000003,2.9598000000000013,111.01,1,7,5,2,37,9
531.6090000000003,3.5804000000000027,122.00999999999999,2,7,7,2,39,9
543.6200000000001,3.964000000000003,111.01,1,7,7,2,40,9
487.51200000000017,2.6568000000000005,122.01000000000002,2,7,4,2,36,9
363.50500000000017,3.2814000000000023,26.79,0,3,6,2,27,4
427.5920000000002,5.427200000000005,28.6,0,4,7,3,32,4
419.61300000000034,4.8418000000000045,26.79,0,3,10,2,31,4
495.71100000000047,5.680700000000006,26.790000000000006,0,3,8,3,37,4
368.5240000000001,5.246600000000005,6.48,0,2,6,3,28,2
393.5750000000003,4.285600000000004,26.79,0,3,8,2,29,4
320.4800000000001,4.356600000000004,6.48,0,2,5,2,24,2
443.6350000000003,5.321800000000006,26.790000000000006,0,3,11,3,33,4
570.7780000000002,5.796300000000007,58.14,0,6,16,3,42,7
405.5860000000003,4.451700000000004,26.79,0,3,8,2,30,4
391.55900000000025,4.061600000000004,26.79,0,3,8,2,29,4
363.50500000000017,3.3293000000000017,35.58,1,3,7,2,27,4
379.5480000000002,3.9402000000000026,35.580000000000005,1,3,6,2,28,4
421.5850000000002,4.070200000000003,36.019999999999996,0,4,9,2,31,5
336.4350000000001,3.277800000000002,43.78,1,3,6,2,25,4
485.62800000000044,4.804500000000004,45.250000000000014,0,5,8,3,36,6
369.5120000000001,4.641600000000004,19.37,0,3,6,3,28,3
395.5470000000003,2.8679000000000014,47.02000000000001,1,4,8,2,29,5
443.5910000000003,4.7858000000000045,47.02000000000001,1,4,7,3,33,5
419.6130000000004,4.8182000000000045,26.790000000000006,0,3,7,2,31,4
364.48900000000003,3.755200000000003,32.78,0,3,4,2,27,4
419.6130000000003,4.838600000000005,26.79,0,3,8,2,31,4
353.51000000000005,3.584900000000001,58.36,2,3,8,2,26,4
350.46200000000016,3.366200000000002,32.78,0,4,6,2,26,4
369.5120000000001,4.641600000000004,19.37,0,3,6,3,28,3
405.5860000000003,4.474400000000004,35.580000000000005,1,3,6,2,30,4
381.56400000000025,4.141500000000004,26.790000000000006,0,3,10,2,28,4
374.5530000000001,5.308100000000006,6.48,0,3,6,3,27,3
441.5750000000002,4.840500000000004,44.81,1,4,8,3,33,5
431.62400000000036,4.8418000000000045,26.79,0,3,10,2,32,4
855.0919999999996,4.473800000000004,157.73999999999998,4,12,11,2,60,14
465.7070000000003,5.382500000000006,18.950000000000003,0,4,9,2,33,5
364.4890000000002,3.756300000000003,32.78,0,4,7,2,27,4
364.48900000000003,3.755200000000003,32.78,0,3,4,2,27,4
394.51500000000016,4.063400000000003,53.010000000000005,1,4,7,2,29,5
513.6820000000005,5.581500000000006,45.250000000000014,0,5,8,3,38,6
